BRAKE_CONT1_CUR_PRESSURE_CANOPEN,BRAKE_CONT2_CUR_PRESSURE_CANOPEN,BRAKE_CURVE_PRESSURE_1,BRAKE_CURVE_PRESSURE_2,BRAKE_CURVE_PRESSURE_3,BRAKE_CURVE_PRESSURE_4,BRAKE_CURVE_PRESSURE_5,BRAKE_CURVE_TIME_1,BRAKE_CURVE_TIME_2,BRAKE_CURVE_TIME_3,BRAKE_CURVE_TIME_4,BRAKE_CURVE_TIME_5,time
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:24.312834
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:24.522624
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:24.732842
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:24.934647
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:25.132825
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:25.333022
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:25.542836
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:25.742063
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:25.942792
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:26.341937
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:26.552611
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:26.751763
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:26.962754
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:27.162682
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:27.362926
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:27.562777
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:27.762780
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:27.963098
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:28.162564
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:28.372801
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:28.572767
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:28.968671
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:29.184994
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:29.382404
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:29.594571
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:29.793206
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:29.993043
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:30.192730
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:30.402742
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:30.602635
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:30.803015
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:31.013350
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:31.232551
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:31.637818
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:31.852380
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:32.052885
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:32.252896
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:32.453079
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:32.653147
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:32.862717
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:33.063106
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:33.272662
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:33.472496
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:33.683111
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:33.883184
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:34.275584
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:34.482932
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:34.692264
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:34.892508
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:35.103320
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:35.302842
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:35.503333
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:35.702436
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:35.902206
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:36.113332
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:36.312799
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:36.512189
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:36.925164
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:37.132292
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:37.343395
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:37.543319
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:37.743122
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:37.942294
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:38.142666
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:38.352896
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:38.553483
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:38.753230
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:38.963423
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:39.173159
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:39.574441
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:39.784217
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:39.993468
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:40.203461
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:40.403299
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:40.613552
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:40.813068
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:41.033409
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:41.243359
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:41.443693
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:41.643242
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:41.843054
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:42.258182
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:42.473590
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:42.673697
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:42.873412
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:43.072804
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:43.283308
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:43.483611
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:43.683780
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:43.883386
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:44.082963
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:44.293651
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:44.494511
