PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,time
0.00,0.00,6.35,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.537706
0.00,0.00,6.35,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.559439
0.00,0.00,6.35,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.597820
0.00,0.00,6.35,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.617795
0.00,0.00,6.35,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.627670
0.00,0.00,6.35,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.659415
0.00,0.00,6.35,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.697465
0.00,0.00,6.35,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.707606
0.00,0.00,6.35,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.717609
0.00,0.00,6.35,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.727414
0.00,0.00,6.35,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.760457
0.00,0.00,19.06,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.818110
0.00,0.00,19.06,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.837701
0.00,0.00,19.06,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.859652
0.00,0.00,19.06,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.898014
0.00,0.00,19.06,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.908157
0.00,0.00,19.06,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.917813
0.00,0.00,19.06,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.927835
0.00,0.00,19.06,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.958655
0.00,0.00,19.06,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:17.997704
0.00,0.00,19.06,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:18.017771
0.00,0.00,19.06,-2.00,33.00,1220.00,190.00,-62.00,-54.00,-28.00,-10.00,18:24:18.037698
0.00,0.00,12.71,-2.00,33.00,1220.00,220.00,-62.00,-54.00,-28.00,-10.00,18:24:18.057664
0.00,0.00,12.71,-2.00,33.00,1220.00,220.00,-62.00,-54.00,-28.00,-10.00,18:24:18.097989
0.00,0.00,12.71,-2.00,33.00,1220.00,220.00,-62.00,-54.00,-28.00,-10.00,18:24:18.107031
0.00,0.00,12.71,-2.00,33.00,1220.00,220.00,-62.00,-54.00,-28.00,-10.00,18:24:18.118038
0.00,0.00,12.71,-2.00,33.00,1220.00,220.00,-62.00,-54.00,-28.00,-10.00,18:24:18.127867
0.00,0.00,12.71,-2.00,33.00,1220.00,220.00,-62.00,-54.00,-28.00,-10.00,18:24:18.158986
0.00,0.00,12.71,-2.00,33.00,1220.00,220.00,-62.00,-54.00,-28.00,-10.00,18:24:18.197577
0.00,0.00,12.71,-2.00,33.00,1220.00,220.00,-62.00,-54.00,-28.00,-10.00,18:24:18.207764
0.00,0.00,12.71,-2.00,33.00,1220.00,220.00,-62.00,-54.00,-28.00,-10.00,18:24:18.217808
0.00,0.00,12.71,-2.00,33.00,1220.00,220.00,-62.00,-54.00,-28.00,-10.00,18:24:18.227373
0.00,0.00,12.71,-2.00,33.00,1220.00,220.00,-62.00,-54.00,-28.00,-10.00,18:24:18.259328
0.00,0.00,25.41,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-28.00,-10.00,18:24:18.297841
0.00,0.00,25.41,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-28.00,-10.00,18:24:18.307661
0.00,0.00,25.41,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-28.00,-10.00,18:24:18.318011
0.00,0.00,25.41,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-28.00,-10.00,18:24:18.327776
0.00,0.00,25.41,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-28.00,-10.00,18:24:18.358365
0.00,0.00,25.41,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-28.00,-10.00,18:24:18.398147
0.00,0.00,25.41,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-28.00,-10.00,18:24:18.407957
0.00,0.00,25.41,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-28.00,-10.00,18:24:18.417911
0.00,0.00,25.41,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-28.00,-10.00,18:24:18.427953
0.00,0.00,25.41,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-28.00,-10.00,18:24:18.458915
0.00,0.00,25.41,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-28.00,-10.00,18:24:18.497558
0.00,0.00,6.35,-2.00,33.00,1210.00,210.00,-62.00,-54.00,-26.00,-10.00,18:24:18.517505
0.00,0.00,6.35,-2.00,33.00,1210.00,210.00,-62.00,-54.00,-26.00,-10.00,18:24:18.537964
0.00,0.00,6.35,-2.00,33.00,1210.00,210.00,-62.00,-54.00,-26.00,-10.00,18:24:18.558440
0.00,0.00,6.35,-2.00,33.00,1210.00,210.00,-62.00,-54.00,-26.00,-10.00,18:24:18.597602
0.00,0.00,6.35,-2.00,33.00,1210.00,210.00,-62.00,-54.00,-26.00,-10.00,18:24:18.607783
0.00,0.00,6.35,-2.00,33.00,1210.00,210.00,-62.00,-54.00,-26.00,-10.00,18:24:18.617783
0.00,0.00,6.35,-2.00,33.00,1210.00,210.00,-62.00,-54.00,-26.00,-10.00,18:24:18.629436
0.00,0.00,6.35,-2.00,33.00,1210.00,210.00,-62.00,-54.00,-26.00,-10.00,18:24:18.659434
0.00,0.00,6.35,-2.00,33.00,1210.00,210.00,-62.00,-54.00,-26.00,-10.00,18:24:18.697885
0.00,0.00,6.35,-2.00,33.00,1210.00,210.00,-62.00,-54.00,-26.00,-10.00,18:24:18.717882
0.00,0.00,6.35,-2.00,33.00,1210.00,210.00,-62.00,-54.00,-26.00,-10.00,18:24:18.737886
0.00,0.00,6.35,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:18.760452
0.00,0.00,6.35,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:18.817828
0.00,0.00,6.35,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:18.827593
0.00,0.00,6.35,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:18.860453
0.00,0.00,6.35,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:18.897658
0.00,0.00,6.35,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:18.907663
0.00,0.00,6.35,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:18.917492
0.00,0.00,6.35,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:18.928616
0.00,0.00,6.35,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:18.959453
0.00,0.00,6.35,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:18.997576
0.00,0.00,6.35,-2.00,33.00,1210.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:19.007647
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:19.029104
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:19.059589
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:19.097777
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:19.107778
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:19.117843
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:19.129595
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:19.158581
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:19.199727
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:19.217907
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:19.229114
0.00,0.00,6.35,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:24:19.259593
0.00,0.00,6.35,-2.00,33.00,1210.00,170.00,-62.00,-54.00,-26.00,-10.00,18:24:19.297762
0.00,0.00,6.35,-2.00,33.00,1210.00,170.00,-62.00,-54.00,-26.00,-10.00,18:24:19.307908
0.00,0.00,6.35,-2.00,33.00,1210.00,170.00,-62.00,-54.00,-26.00,-10.00,18:24:19.330635
0.00,0.00,6.35,-2.00,33.00,1210.00,170.00,-62.00,-54.00,-26.00,-10.00,18:24:19.358249
0.00,0.00,6.35,-2.00,33.00,1210.00,170.00,-62.00,-54.00,-26.00,-10.00,18:24:19.397541
0.00,0.00,6.35,-2.00,33.00,1210.00,170.00,-62.00,-54.00,-26.00,-10.00,18:24:19.407586
0.00,0.00,6.35,-2.00,33.00,1210.00,170.00,-62.00,-54.00,-26.00,-10.00,18:24:19.418045
0.00,0.00,6.35,-2.00,33.00,1210.00,170.00,-62.00,-54.00,-26.00,-10.00,18:24:19.429539
0.00,0.00,6.35,-2.00,33.00,1210.00,170.00,-62.00,-54.00,-26.00,-10.00,18:24:19.461674
0.00,0.00,6.35,-2.00,33.00,1210.00,170.00,-62.00,-54.00,-26.00,-10.00,18:24:19.497686
0.00,0.00,6.35,-2.00,33.00,1210.00,170.00,-62.00,-54.00,-26.00,-10.00,18:24:19.518408
0.00,0.00,6.35,-2.00,33.00,1220.00,260.00,-62.00,-54.00,-28.00,-10.00,18:24:19.548016
0.00,0.00,6.35,-2.00,33.00,1220.00,260.00,-62.00,-54.00,-28.00,-10.00,18:24:19.597646
0.00,0.00,6.35,-2.00,33.00,1220.00,260.00,-62.00,-54.00,-28.00,-10.00,18:24:19.607863
0.00,0.00,6.35,-2.00,33.00,1220.00,260.00,-62.00,-54.00,-28.00,-10.00,18:24:19.617875
0.00,0.00,6.35,-2.00,33.00,1220.00,260.00,-62.00,-54.00,-28.00,-10.00,18:24:19.629439
0.00,0.00,6.35,-2.00,33.00,1220.00,260.00,-62.00,-54.00,-28.00,-10.00,18:24:19.658435
0.00,0.00,6.35,-2.00,33.00,1220.00,260.00,-62.00,-54.00,-28.00,-10.00,18:24:19.697564
0.00,0.00,6.35,-2.00,33.00,1220.00,260.00,-62.00,-54.00,-28.00,-10.00,18:24:19.707636
0.00,0.00,6.35,-2.00,33.00,1220.00,260.00,-62.00,-54.00,-28.00,-10.00,18:24:19.717501
0.00,0.00,6.35,-2.00,33.00,1220.00,260.00,-62.00,-54.00,-28.00,-10.00,18:24:19.728625
0.00,0.00,6.35,-2.00,33.00,1220.00,260.00,-62.00,-54.00,-28.00,-10.00,18:24:19.761991
0.00,0.00,12.71,-2.00,33.00,1220.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:19.818034
0.00,0.00,12.71,-2.00,33.00,1220.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:19.829450
0.00,0.00,12.71,-2.00,33.00,1220.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:19.858322
0.00,0.00,12.71,-2.00,33.00,1220.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:19.897920
0.00,0.00,12.71,-2.00,33.00,1220.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:19.909911
0.00,0.00,12.71,-2.00,33.00,1220.00,180.00,-62.00,-54.00,-26.00,-10.00,18:24:19.928313
