STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,STEERING_SERVO_TEMP_FRONT,STEERING_SERVO_TEMP_REAR,time
1,16,1110,90,63,61,19:19:46.727775
1,16,1120,100,63,61,19:19:46.737738
1,16,1120,100,63,61,19:19:46.757742
1,16,1120,100,63,61,19:19:46.777776
1,16,1120,100,63,61,19:19:46.787742
1,16,1120,100,63,61,19:19:46.827776
1,16,1120,100,63,61,19:19:46.837776
1,16,1120,70,63,61,19:19:46.857785
1,16,1120,70,63,61,19:19:46.877786
1,16,1120,70,63,61,19:19:46.927783
1,16,1120,70,63,61,19:19:46.937776
1,16,1120,70,63,61,19:19:46.957786
1,16,1120,70,63,61,19:19:46.978739
1,16,1120,50,63,61,19:19:46.987741
1,16,1120,50,63,61,19:19:47.027805
1,16,1120,50,63,61,19:19:47.048755
1,16,1120,50,63,61,19:19:47.077756
1,16,1120,50,63,61,19:19:47.087744
1,16,1120,50,63,61,19:19:47.128013
1,16,1120,110,63,61,19:19:47.137783
1,16,1120,110,63,61,19:19:47.157915
1,16,1120,110,63,61,19:19:47.177774
1,16,1120,110,63,61,19:19:47.187851
1,16,1120,110,63,61,19:19:47.227784
1,16,1120,110,63,61,19:19:47.237744
1,16,1110,100,63,61,19:19:47.257920
1,16,1110,100,63,61,19:19:47.278740
1,16,1110,100,63,61,19:19:47.287899
1,16,1110,100,63,61,19:19:47.347886
1,16,1110,100,63,61,19:19:47.377874
1,16,1110,100,63,61,19:19:47.387740
1,16,1110,80,63,61,19:19:47.437739
1,16,1110,80,63,61,19:19:47.457769
1,16,1110,80,63,61,19:19:47.477883
1,16,1110,80,63,61,19:19:47.487740
1,16,1110,80,63,61,19:19:47.527770
1,16,1110,80,63,61,19:19:47.537767
1,16,1110,80,63,61,19:19:47.558739
1,16,1110,80,63,61,19:19:47.577919
1,16,1110,80,63,61,19:19:47.587740
1,16,1110,80,63,61,19:19:47.627748
1,16,1110,80,63,61,19:19:47.638743
1,16,1110,80,63,61,19:19:47.657961
1,16,1110,80,63,61,19:19:47.677740
1,16,1110,80,63,61,19:19:47.687752
1,16,1110,80,63,61,19:19:47.728744
1,16,1110,80,63,61,19:19:47.737742
1,16,1110,80,63,61,19:19:47.747887
1,16,1110,80,63,61,19:19:47.778741
1,16,1110,80,63,61,19:19:47.787739
1,16,1110,80,63,61,19:19:47.828741
1,16,1110,80,63,61,19:19:47.837740
1,16,1110,80,63,61,19:19:47.847742
1,16,1110,80,63,61,19:19:47.877893
1,16,1110,80,63,61,19:19:47.887741
1,16,1110,90,63,61,19:19:47.928751
1,16,1110,90,63,61,19:19:47.948740
1,16,1110,90,63,61,19:19:47.978744
1,16,1110,90,63,61,19:19:47.987742
1,16,1110,90,63,61,19:19:48.027883
1,16,1110,90,63,61,19:19:48.037740
1,16,1110,90,63,61,19:19:48.057750
1,16,1110,90,63,61,19:19:48.078740
1,16,1110,90,63,61,19:19:48.087741
1,16,1110,90,63,61,19:19:48.127904
1,16,1110,90,63,61,19:19:48.137767
1,16,1110,90,63,61,19:19:48.147769
1,16,1120,70,63,61,19:19:48.177739
1,16,1120,70,63,61,19:19:48.188756
1,16,1120,70,63,61,19:19:48.227776
1,16,1120,70,63,61,19:19:48.237742
1,16,1120,70,63,61,19:19:48.248745
1,16,1120,70,63,61,19:19:48.277904
1,16,1120,70,63,61,19:19:48.287741
1,16,1120,70,63,61,19:19:48.338769
1,16,1120,70,63,61,19:19:48.357885
1,16,1120,70,63,61,19:19:48.387863
1,16,1120,70,63,61,19:19:48.427905
1,16,1120,70,63,61,19:19:48.438740
1,16,1110,70,63,61,19:19:48.477871
1,16,1110,70,63,61,19:19:48.487740
1,16,1110,70,63,61,19:19:48.527739
1,16,1110,70,63,61,19:19:48.537740
1,16,1110,70,63,61,19:19:48.547764
1,16,1110,70,63,61,19:19:48.577915
1,16,1110,100,63,61,19:19:48.587739
1,16,1110,100,63,61,19:19:48.628741
1,16,1110,100,63,61,19:19:48.637741
1,16,1110,100,63,61,19:19:48.647749
1,16,1110,100,63,61,19:19:48.678742
1,16,1110,100,63,61,19:19:48.687740
1,16,1110,100,63,61,19:19:48.727873
1,16,1110,100,63,61,19:19:48.737741
1,16,1110,100,63,61,19:19:48.747774
1,16,1110,100,63,61,19:19:48.777742
1,16,1110,100,63,61,19:19:48.788743
1,16,1110,100,63,61,19:19:48.828740
1,16,1120,110,63,61,19:19:48.837740
1,16,1120,110,63,61,19:19:48.848741
1,16,1120,110,63,61,19:19:48.877919
1,16,1120,110,63,61,19:19:48.887739
1,16,1120,110,63,61,19:19:48.927897
1,16,1120,110,63,61,19:19:48.937795
1,16,1120,110,63,61,19:19:48.947838
1,16,1120,110,63,61,19:19:48.988805
1,16,1120,110,63,61,19:19:49.027947
1,16,1120,110,63,61,19:19:49.037806
1,16,1120,110,63,61,19:19:49.047917
1,16,1120,110,63,61,19:19:49.077805
1,16,1120,120,63,61,19:19:49.087808
1,16,1120,120,63,61,19:19:49.127848
1,16,1120,120,63,61,19:19:49.137805
1,16,1120,120,63,61,19:19:49.148894
1,16,1120,120,63,61,19:19:49.178071
1,16,1120,120,63,61,19:19:49.188805
1,16,1120,110,63,61,19:19:49.227880
1,16,1120,110,63,61,19:19:49.237958
1,16,1120,110,63,61,19:19:49.248065
1,16,1120,110,63,61,19:19:49.278843
1,16,1120,110,63,61,19:19:49.287841
1,16,1120,110,63,61,19:19:49.348843
1,16,1120,80,63,61,19:19:49.378090
1,16,1120,80,63,61,19:19:49.387842
1,16,1120,80,63,61,19:19:49.428091
1,16,1120,80,63,61,19:19:49.437875
1,16,1120,80,63,61,19:19:49.447880
1,16,1120,80,63,61,19:19:49.477846
1,16,1120,90,63,61,19:19:49.528841
1,16,1120,90,63,61,19:19:49.537843
1,16,1120,90,63,61,19:19:49.547872
1,16,1120,90,63,61,19:19:49.578012
1,16,1120,90,63,61,19:19:49.588839
1,16,1120,90,63,61,19:19:49.627865
1,16,1110,100,63,61,19:19:49.637840
1,16,1110,100,63,61,19:19:49.648865
1,16,1110,100,63,61,19:19:49.677961
1,16,1110,100,63,61,19:19:49.687840
1,16,1110,100,63,61,19:19:49.727867
1,16,1110,100,63,61,19:19:49.737838
1,16,1120,150,63,61,19:19:49.749878
1,16,1120,150,63,61,19:19:49.778842
1,16,1120,150,63,61,19:19:49.787842
1,16,1120,150,63,61,19:19:49.828102
1,16,1120,150,63,61,19:19:49.837838
1,16,1120,150,63,61,19:19:49.849840
1,16,1120,110,63,61,19:19:49.878839
1,16,1120,110,63,61,19:19:49.888838
1,16,1120,110,63,61,19:19:49.928052
1,16,1120,110,63,61,19:19:49.938841
1,16,1120,110,63,61,19:19:49.949843
1,16,1120,110,63,61,19:19:49.977881
1,16,1120,110,63,61,19:19:49.987839
1,16,1120,110,63,61,19:19:50.037840
1,16,1120,110,63,61,19:19:50.049951
1,16,1120,110,63,61,19:19:50.077879
1,16,1120,110,63,61,19:19:50.087838
1,16,1120,110,63,61,19:19:50.128842
1,16,1120,90,63,61,19:19:50.138840
1,16,1120,90,63,61,19:19:50.148839
1,16,1120,90,63,61,19:19:50.178011
1,16,1120,90,63,61,19:19:50.187987
1,16,1120,90,63,61,19:19:50.228845
1,16,1120,90,63,61,19:19:50.238853
1,16,1120,100,63,61,19:19:50.250084
1,16,1120,100,63,61,19:19:50.277881
1,16,1120,100,63,61,19:19:50.287840
1,16,1120,100,63,61,19:19:50.338842
1,16,1120,100,63,61,19:19:50.358843
1,16,1120,100,63,61,19:19:50.387839
1,16,1120,100,63,61,19:19:50.428105
1,16,1120,100,63,61,19:19:50.438839
1,16,1120,100,63,61,19:19:50.449873
1,16,1120,100,63,61,19:19:50.477874
1,16,1120,100,63,61,19:19:50.487970
1,16,1120,100,63,61,19:19:50.528838
1,16,1120,110,63,61,19:19:50.550838
1,16,1120,110,63,61,19:19:50.578840
1,16,1120,110,63,61,19:19:50.587894
1,16,1120,110,63,61,19:19:50.628853
1,16,1120,110,63,61,19:19:50.638839
1,16,1120,110,63,61,19:19:50.649839
1,16,1120,150,63,61,19:19:50.678843
1,16,1120,150,63,61,19:19:50.688851
1,16,1120,150,63,61,19:19:50.727869
1,16,1120,150,63,61,19:19:50.737839
1,16,1120,150,63,61,19:19:50.748839
1,16,1120,150,63,61,19:19:50.778842
1,16,1120,140,63,61,19:19:50.787855
1,16,1120,140,63,61,19:19:50.827879
1,16,1120,140,63,61,19:19:50.837839
1,16,1120,140,63,61,19:19:50.847994
1,16,1120,140,63,61,19:19:50.878841
1,16,1120,140,63,61,19:19:50.888837
1,16,1120,130,63,61,19:19:50.928134
1,16,1120,130,63,61,19:19:50.937983
1,16,1120,130,63,61,19:19:50.947981
1,16,1120,130,63,61,19:19:50.978017
1,16,1120,130,63,61,19:19:50.988014
1,16,1120,130,63,61,19:19:51.028148
1,16,1120,90,63,61,19:19:51.037986
1,16,1120,90,63,61,19:19:51.078258
1,16,1120,90,63,61,19:19:51.087986
1,16,1120,90,63,61,19:19:51.128162
1,16,1120,90,63,61,19:19:51.138983
1,16,1120,90,63,61,19:19:51.148988
1,16,1120,100,63,61,19:19:51.177982
1,16,1120,100,63,61,19:19:51.187982
1,16,1120,100,63,61,19:19:51.228248
1,16,1120,100,63,61,19:19:51.237983
1,16,1120,100,63,61,19:19:51.248246
1,16,1120,100,63,61,19:19:51.278247
1,16,1120,130,63,61,19:19:51.287981
1,16,1120,130,63,61,19:19:51.337983
1,16,1120,130,63,61,19:19:51.358983
1,16,1120,130,63,61,19:19:51.387981
1,16,1120,130,63,61,19:19:51.428180
1,16,1120,130,63,61,19:19:51.438988
1,16,1120,140,63,61,19:19:51.448138
1,16,1120,140,63,61,19:19:51.478251
1,16,1120,140,63,61,19:19:51.487985
1,16,1120,140,63,61,19:19:51.528248
1,16,1120,140,63,61,19:19:51.537984
1,16,1120,140,63,61,19:19:51.548987
1,16,1120,170,63,61,19:19:51.587984
1,16,1120,170,63,61,19:19:51.628240
1,16,1120,170,63,61,19:19:51.637986
1,16,1120,170,63,61,19:19:51.648251
1,16,1120,170,63,61,19:19:51.678146
1,16,1120,170,63,61,19:19:51.688983
1,16,1120,150,63,61,19:19:51.727981
1,16,1120,150,63,61,19:19:51.737983
1,16,1120,150,63,61,19:19:51.748231
1,16,1120,150,63,61,19:19:51.778118
1,16,1120,150,63,61,19:19:51.788015
1,16,1120,150,63,61,19:19:51.828018
1,16,1120,110,63,61,19:19:51.837983
1,16,1120,110,63,61,19:19:51.848256
1,16,1120,110,63,61,19:19:51.878151
1,16,1120,110,63,61,19:19:51.888021
1,16,1120,110,63,61,19:19:51.927982
1,16,1120,110,63,61,19:19:51.937982
1,16,1120,120,63,61,19:19:51.948023
1,16,1120,120,63,61,19:19:51.977982
1,16,1120,120,63,61,19:19:51.988011
1,16,1120,120,63,61,19:19:52.028015
1,16,1120,120,63,61,19:19:52.038018
1,16,1120,120,63,61,19:19:52.048019
1,16,1120,110,63,61,19:19:52.078007
1,16,1120,110,63,61,19:19:52.128015
1,16,1120,110,63,61,19:19:52.137984
1,16,1120,110,63,61,19:19:52.147984
1,16,1120,110,63,61,19:19:52.178021
1,16,1120,110,63,61,19:19:52.187983
1,16,1110,140,63,61,19:19:52.228250
1,16,1110,140,63,61,19:19:52.239040
1,16,1110,140,63,61,19:19:52.248267
1,16,1110,140,63,61,19:19:52.278000
1,16,1110,140,63,61,19:19:52.287983
1,16,1110,140,63,61,19:19:52.337983
1,16,1120,150,63,61,19:19:52.358106
1,16,1120,150,63,61,19:19:52.387982
1,16,1120,150,63,61,19:19:52.428100
1,16,1120,150,63,61,19:19:52.438984
1,16,1120,150,63,61,19:19:52.448220
1,16,1120,150,63,61,19:19:52.478023
1,16,1120,180,63,61,19:19:52.487981
1,16,1120,180,63,61,19:19:52.527986
1,16,1120,180,63,61,19:19:52.537983
1,16,1120,180,63,61,19:19:52.548210
1,16,1120,180,63,61,19:19:52.578983
1,16,1120,140,63,61,19:19:52.629035
1,16,1120,140,63,61,19:19:52.639033
1,16,1120,140,63,61,19:19:52.648181
1,16,1120,140,63,61,19:19:52.678034
1,16,1120,140,63,61,19:19:52.689034
1,16,1120,140,63,61,19:19:52.728034
1,16,1120,140,63,61,19:19:52.738035
1,16,1120,100,63,61,19:19:52.749036
1,16,1120,100,63,61,19:19:52.778245
1,16,1120,100,63,61,19:19:52.788032
1,16,1120,100,63,61,19:19:52.828062
1,16,1120,100,63,61,19:19:52.838035
1,16,1120,100,63,61,19:19:52.849035
1,16,1120,100,63,61,19:19:52.878237
1,16,1120,100,63,61,19:19:52.889035
1,16,1120,100,63,61,19:19:52.928033
1,16,1120,100,63,61,19:19:52.938034
1,16,1120,100,63,61,19:19:52.948154
1,16,1120,100,63,61,19:19:52.979034
1,16,1120,100,63,61,19:19:52.988163
1,16,1120,100,63,61,19:19:53.029034
1,16,1120,100,63,61,19:19:53.038032
1,16,1120,100,63,61,19:19:53.049034
1,16,1120,100,63,61,19:19:53.078097
1,16,1120,100,63,61,19:19:53.088033
1,16,1120,140,63,61,19:19:53.138032
1,16,1120,140,63,61,19:19:53.148072
1,16,1120,140,63,61,19:19:53.179036
1,16,1120,140,63,61,19:19:53.189033
1,16,1120,140,63,61,19:19:53.229036
1,16,1120,140,63,61,19:19:53.238034
1,16,1120,130,63,61,19:19:53.248075
1,16,1120,130,63,61,19:19:53.278112
1,16,1120,130,63,61,19:19:53.288031
1,16,1120,130,63,61,19:19:53.339033
1,16,1120,130,63,61,19:19:53.359036
1,16,1120,130,63,61,19:19:53.389034
1,16,1120,160,63,61,19:19:53.428031
1,16,1120,160,63,61,19:19:53.438031
1,16,1120,160,63,61,19:19:53.449130
1,16,1120,160,63,61,19:19:53.478033
1,16,1120,160,63,61,19:19:53.488031
1,16,1120,160,63,61,19:19:53.529035
1,16,1120,130,63,61,19:19:53.538157
1,16,1120,130,63,61,19:19:53.549035
1,16,1120,130,63,61,19:19:53.578190
1,16,1120,130,63,61,19:19:53.588033
1,16,1120,130,63,61,19:19:53.628062
1,16,1120,120,63,61,19:19:53.650280
1,16,1120,120,63,61,19:19:53.678063
1,16,1120,120,63,61,19:19:53.688032
1,16,1120,120,63,61,19:19:53.729048
1,16,1120,120,63,61,19:19:53.739035
1,16,1120,120,63,61,19:19:53.750286
1,16,1120,120,63,61,19:19:53.779035
1,16,1110,130,63,61,19:19:53.788032
1,16,1110,130,63,61,19:19:53.828033
1,16,1110,130,63,61,19:19:53.838034
1,16,1110,130,63,61,19:19:53.850183
1,16,1110,130,63,61,19:19:53.878031
1,16,1110,130,63,61,19:19:53.888031
1,16,1120,120,63,61,19:19:53.929036
1,16,1120,120,63,61,19:19:53.938034
1,16,1120,120,63,61,19:19:53.950186
1,16,1120,120,63,61,19:19:53.978032
1,16,1120,120,63,61,19:19:53.988056
1,16,1120,120,63,61,19:19:54.028032
1,16,1120,110,63,61,19:19:54.038073
1,16,1120,110,63,61,19:19:54.049298
1,16,1120,110,63,61,19:19:54.078198
1,16,1120,110,63,61,19:19:54.089034
1,16,1120,110,63,61,19:19:54.128075
1,16,1120,110,63,61,19:19:54.138034
1,16,1120,100,63,61,19:19:54.178031
1,16,1120,100,63,61,19:19:54.188032
