SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,time
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:47.817957
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:48.016381
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:48.216303
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:48.416413
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:48.615458
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:48.829669
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:49.028296
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:49.228199
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:49.425862
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:49.625835
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:49.826401
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:50.085844
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:50.295847
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:50.506686
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:50.706616
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:50.906288
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:51.106395
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:51.316388
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:51.516728
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:51.716367
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:51.915783
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:52.116495
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:52.327561
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:52.546561
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:52.786777
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:52.996515
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:53.196726
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:53.396270
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:53.596266
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:53.796386
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:05:53.996228
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:05:54.216647
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:05:54.420723
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:05:54.626720
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:05:54.825685
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:05:55.026204
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:05:55.242046
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:05:55.486506
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.76,18:05:55.696199
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.76,18:05:55.896387
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.76,18:05:56.096519
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.76,18:05:56.306387
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.76,18:05:56.506459
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.76,18:05:56.706658
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.76,18:05:56.918979
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.76,18:05:57.116103
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:57.316499
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:57.516033
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:57.716554
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:57.937718
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:58.156463
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:58.386495
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:58.596078
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:58.796113
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.76,18:05:58.996228
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.76,18:05:59.207002
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.76,18:05:59.406351
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.76,18:05:59.606159
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.76,18:05:59.806645
